Planet_name,Host_name,gaia_id,Number_of_stars,Number_of_planets,Number_of_moons,disc_facility,Planet_controversial_flag,Orbital_period[days],delta_orbpererr1,delta_orbpererr2,pl_orbperlim,Orbit_semimajor_axis,delta_orbsmaxerr1,delta_orbsmaxerr2,pl_orbsmaxlim,angular_separation[mas],delta_angseperr1,delta_angseperr2,pl_angseplim,Planet_radius[Earth],delta_radeerr1,delta_radeerr2,pl_radelim,Planet_radius[Jupiter],delta_radjerr1,delta_radjerr2,pl_radjlim,Planet_mass[Earth],delta_bmasseerr1,delta_bmasseerr2,pl_bmasselim,Planet_mass[Jupiter],delta_bmassjerr1,delta_bmassjerr2,pl_bmassjlim,Planet_density[g/cm^3],delta_denserr1,delta_denserr2,pl_denslim,Orbit_eccentricity,delta_orbeccenerr1,delta_orbeccenerr2,pl_orbeccenlim,Planet_insolation_flux[Earth],delta_insolerr1,delta_insolerr2,pl_insollim,Planet_equilibrium_temperature[K],delta_eqterr1,delta_eqterr2,pl_eqtlim,Orbital_inclinitation[deg],delta_orbinclerr1,delta_orbinclerr2,pl_orbincllim,ttv_flag,Ratio_semimajor_stellarradius,delta_ratdorerr1,delta_ratdorerr2,pl_ratdorlim,Ratio_planetradius/stellar,delta_ratrorerr1,delta_ratrorerr2,pl_ratrorlim,Radial_velocity_amplitude[m/s],delta_rvamperr1,delta_rvamperr2,pl_rvamplim,True_Obliquity,delta_trueobliqerr1,delta_trueobliqerr2,pl_trueobliqlim,Spectral_type,Stellar_effective_temperature,delta_tefferr1,delta_tefferr2,st_tefflim,Stellar_radius,delta_raderr1,delta_raderr2,st_radlim,Stellar_mass,delta_masserr1,delta_masserr2,st_masslim,Stellar_metallicity[dex],delta_meterr1,delta_meterr2,st_metlim,Stellar_metallicity_ratio,Stellar_luminocity[log(sun)],delta_lumerr1,delta_lumerr2,st_lumlim,Stellar_gravity_logg,delta_loggerr1,delta_loggerr2,st_logglim,Stelar_age[Gyr],delta_ageerr1,delta_ageerr2,st_agelim,Stellar_density[g/cm^3],delta_denserr1.1,delta_denserr2.1,st_denslim,Stelar_rotational_velocity[km/s],delta_vsinerr1,delta_vsinerr2,st_vsinlim,Stellar_rotational_period[days],delta_rotperr1,delta_rotperr2,st_rotplim,st_radv,st_radverr1,st_radverr2,st_radvlim,RA[sexagesimal],RA[deg],DEC[sexagesimal],DEC,Distance[parsec],delta_disterr1,delta_disterr2,sy_vmag,sy_vmagerr1,sy_vmagerr2,sy_kmag,sy_kmagerr1,sy_kmagerr2,sy_gaiamag,sy_gaiamagerr1,sy_gaiamagerr2,st_nspec
Kepler-1482 b,Kepler-1482,Gaia DR2 2131965454422070784,1,1,0,Kepler,0,12.25383217,8.407e-05,-8.407e-05,0.0,0.09968,0.00049,-0.00049,0.0,0.176,,,0.0,1.01,0.1,-0.11,0,0.09010616,0.0089214,-0.00981354,0,1.01,,,0,0.00317,,,0,5.39,,,0,0.0,,,0.0,86.499,4.154,-3.945,0.0,678.0,,,0.0,89.3,,,0.0,0,35.9,11.1,-11.1,0.0,0.011045,0.000307,-0.000947,0.0,,,,,,,,,G7,5381.0,59.2,-59.31,0.0,0.84,0.078,-0.052,0.0,0.88,0.041,-0.047,0,-0.04,0.155,-0.157,0.0,[Fe/H],-0.08288,,,0.0,4.54,0.038,-0.093,0.0,4.47,6.7,-2.8,0.0,0.78,0.04,-0.04,0.0,,,,,,,,,,,,,19h01m15.32s,285.3138209,+48d43m30.97s,48.72527,567.556,11.2435,-11.2435,13.967,0.114,-0.114,11.996,0.028,-0.028,13.7295,0.000293,-0.000293,0
Kepler-1602 b,Kepler-1602,Gaia DR2 2053284398043177216,1,1,0,Kepler,0,11.17931605,7.504e-05,-7.504e-05,0.0,0.09744,0.00105,-0.00105,0.0,0.155,,,0.0,1.34,0.58,-0.23,0,0.11954679,0.05174413,-0.02051923,0,2.36,,,0,0.00742,,,0,5.39,,,0,0.0,,,0.0,124.507,3.309,-3.22,0.0,1159.0,,,0.0,89.15,,,0.0,0,28.26,4.2,-4.2,0.0,0.008624,0.000573,-0.000341,0.0,,,,,,,,,F8,6296.0,217.69,-152.7,0.0,1.36,0.584,-0.223,0.0,1.22,0.205,-0.108,0,0.02,0.119,-0.168,0.0,[Fe/H],0.20142,0.01833,-0.01974,0.0,4.25,0.124,-0.243,0.0,2.51,1.13,-0.85,0.0,0.8,0.06,-0.04,0.0,,,,,,,,,,,,,19h34m19.41s,293.5808607,+40d25m39.14s,40.4275396,629.804,5.564,-5.469,13.362,0.114,-0.114,12.06,0.021,-0.021,13.3012,0.000205,-0.000205,0
Kepler-1616 b,Kepler-1616,Gaia DR2 2106427750679026688,1,1,0,Kepler,0,6.76284377,6.948e-05,-6.948e-05,0.0,0.07318,0.00069,-0.00069,0.0,0.0643,,,0.0,1.02,0.47,-0.15,0,0.0909983,0.04193059,-0.0133821,0,1.04,,,0,0.00328,,,0,5.39,,,0,0.0,,,0.0,724.861,25.579,-24.68,0.0,1337.0,,,0.0,85.5,,,0.0,0,8.821,0.539,-0.539,0.0,0.006955,0.000308,-0.000273,0.0,,,,,,,,,F8,6266.0,93.46,-92.78,0.0,1.34,0.621,-0.194,0.0,1.21,0.194,-0.097,0,0.02,0.127,-0.159,0.0,[Fe/H],0.63778,,,0.0,4.26,0.119,-0.258,0.0,2.75,0.818,-0.988,0.0,0.21,0.02,-0.01,0.0,,,,,,,,,,,,,19h06m10.48s,286.5436691,+45d18m17.54s,45.3048716,1137.81,17.53,-17.53,13.491,0.057,-0.057,12.228,0.018,-0.018,13.4295,0.000242,-0.000242,0
Kepler-191 b,Kepler-191,Gaia DR2 2126648731589350272,1,3,0,Kepler,0,9.939632,6.6e-05,-6.6e-05,0.0,0.087,,,0.0,0.146,,,0.0,1.34,0.66,-0.66,0,0.12,0.059,-0.059,0,2.36,,,0,0.00742,,,0,5.39,,,0,0.0,,,0.0,50.2,4.0,-4.0,0.0,722.0,,,0.0,84.14,,,0.0,0,9.14,4.5,-4.5,0.0,0.015583,0.000798,-0.000476,0.0,,,,,,,,,K0,5282.0,200.0,-200.0,0.0,0.789,0.39,-0.39,0.0,0.857,0.015,-0.014,0,0.13,0.04,-0.04,0.0,[Fe/H],-0.4145,,,0.0,4.594,0.3,-0.3,0.0,1.0,1.82,-0.66,0.0,1.82,0.03,-0.07,0.0,,,,,,,,,,,,,19h24m44.00s,291.1833211,+45d19m23.14s,45.3230937,594.464,7.885,-7.885,14.987,0.092,-0.092,12.883,0.04,-0.04,14.7758,0.000578,-0.000578,0
Kepler-192 d,Kepler-192,Gaia DR2 2130243550494676480,1,3,0,Kepler,0,6.47027579,4.32e-05,-4.32e-05,0.0,0.0686,0.00073,-0.00073,0.0,0.105,,,0.0,1.02,0.1,-0.07,0,0.0909983,0.0089214,-0.00624498,0,1.04,,,0,0.00328,,,0,5.39,,,0,0.0,,,0.0,186.076,5.334,-5.163,0.0,926.0,,,0.0,85.94,,,0.0,0,15.26,2.0,-2.0,0.0,0.009987,0.000504,-0.000332,0.0,,,,,,,,,G7,5487.0,66.16,-60.56,0.0,0.94,0.076,-0.057,0.0,0.94,0.034,-0.033,0,0.13,0.087,-0.096,0.0,[Fe/H],-0.09429,,,0.0,4.46,0.062,-0.074,0.0,6.76,4.0,-4.14,0.0,1.11,0.05,-0.07,0.0,,,,,,,,,,,,,19h11m40.31s,287.9179379,+45d35m34.38s,45.5928829,651.674,6.7435,-6.7435,14.308,0.183,-0.183,12.427,0.021,-0.021,14.1039,0.0002,-0.0002,0
Kepler-197 b,Kepler-197,Gaia DR2 2135179533070399232,2,4,0,Kepler,0,5.599308,2.3e-05,-2.3e-05,0.0,0.06,,,0.0,0.182,,,0.0,1.02,0.04,-0.04,0,0.091,0.004,-0.004,0,1.04,,,0,0.00328,,,0,5.39,,,0,0.02,0.23,-0.02,0.0,431.256,10.354,-10.145,0.0,1142.0,,,0.0,79.07,,,0.0,0,6.26,0.28,-0.28,0.0,0.00919,0.00015,-0.00015,0.0,,,,,,,,,G0,6004.0,102.0,-102.0,0.0,1.12,0.033,-0.033,0.0,0.857,0.023,-0.019,0,-0.441,0.0136,-0.0136,0.0,[M/H],0.22187,0.01188,-0.02057,0.0,4.304,0.053,-0.053,0.0,5.37,1.1,-0.94,0.0,0.55,0.03,-0.02,0.0,,,,,,,,,1.2311,0.62702,-0.62702,0.0,19h40m54.35s,295.2264739,+50d33m33.25s,50.5592348,330.575,2.344,-2.312,11.775,0.024,-0.024,10.535,0.021,-0.021,11.78,0.000175,-0.000175,0
Kepler-282 b,Kepler-282,Gaia DR2 2106739943262307200,1,4,0,Kepler,0,9.220524,0.000341,-0.000341,0.0,0.082,,,0.0,0.0613,,,0.0,1.01,0.25,-0.25,0,0.09,0.022,-0.022,0,1.01,,,0,0.00317,,,0,5.39,,,0,0.0,,,0.0,195.935,15.733,-14.377,0.0,817.0,,,0.0,89.85,,,0.0,0,14.511,0.943,-0.943,0.0,0.010738,0.000475,-0.000721,0.0,,,,,,,,,G6,5602.0,155.0,-155.0,0.0,0.904,0.215,-0.215,0.0,0.86,0.017,-0.013,0,-0.2,0.04,-0.04,0.0,[Fe/H],0.10587,,,0.0,4.459,0.15,-0.15,0.0,12.88,0.61,-1.13,0.0,0.64,0.06,-0.06,0.0,,,,,,,,,,,,,18h58m42.54s,284.6772402,+44d47m51.50s,44.7976401,1337.61,44.61,-41.87,15.444,0.263,-0.263,13.65,0.046,-0.046,15.1779,0.000354,-0.000354,0
Kepler-285 b,Kepler-285,Gaia DR2 2129295427874937856,1,2,0,Kepler,0,2.633867,1.2e-05,-1.2e-05,0.0,0.036,,,0.0,0.0437,,,0.0,1.34,0.58,-0.58,0,0.12,0.052,-0.052,0,2.36,,,0,0.00742,,,0,5.39,,,0,0.0,,,0.0,428.407,22.904,-21.589,0.0,1131.0,,,0.0,88.82,,,0.0,0,9.91,1.6,-1.6,0.0,0.015996,0.000662,-0.000354,0.0,,,,,,,,,G7,5411.0,200.0,-200.0,0.0,0.808,0.348,-0.348,0.0,0.915,0.026,-0.026,0,0.17,0.04,-0.04,0.0,[Fe/H],-0.27923,,,0.0,4.584,0.3,-0.3,0.0,2.88,2.87,-1.97,0.0,1.5,0.08,-0.09,0.0,,,,,,,,,,,,,19h25m33.80s,291.3908469,+48d03m55.94s,48.0655392,824.31,16.001,-15.413,15.198,0.149,-0.149,13.319,0.039,-0.039,15.1521,0.000435,-0.000435,0
Kepler-322 b,Kepler-322,Gaia DR2 2117317588719059968,1,2,0,Kepler,0,1.653888,6e-06,-6e-06,0.0,0.027,,,0.0,0.0674,,,0.0,1.01,0.11,-0.11,0,0.09,0.01,-0.01,0,1.01,,,0,0.00317,,,0,5.39,,,0,0.0,,,0.0,735.179,14.511,-14.25,0.0,1373.0,,,0.0,88.21,,,0.0,0,2.95,0.38,-0.38,0.0,0.010657,0.000355,-0.000349,0.0,,,,,,,,,G7,5388.0,100.0,-100.0,0.0,0.89,0.096,-0.096,0.0,0.908,0.013,-0.018,0,0.12,0.04,-0.04,0.0,[Fe/H],-0.28786,0.01381,-0.01041,0.0,4.501,0.15,-0.15,0.0,1.1,1.36,-0.75,0.0,1.64,0.02,-0.04,0.0,6.3,,,0.0,,,,,-22.96,0.13,-0.13,0.0,18h45m23.70s,281.3487514,+44d17m42.91s,44.2952525,400.48,2.637,-2.604,13.687,0.103,-0.103,11.837,0.016,-0.016,13.5033,0.000348,-0.000348,0
Kepler-336 b,Kepler-336,Gaia DR2 2101792175299215488,1,3,0,Kepler,0,2.024823,1.7e-05,-1.7e-05,0.0,0.033,,,0.0,0.0429,,,0.0,1.02,0.19,-0.19,0,0.091,0.017,-0.017,0,1.04,,,0,0.00328,,,0,5.39,,,0,0.0,,,0.0,1652.5,765.44,-595.79,0.0,1625.0,,,0.0,87.61,,,0.0,0,2.62,0.19,-0.19,0.0,0.007715,0.000159,-0.00038,0.0,,,,,,,,,G1,5867.0,100.0,-100.0,0.0,1.304,0.23,-0.23,0.0,1.09,0.059,-0.042,0,0.337,0.047,-0.047,0.0,[M/H],0.26,,,0.0,4.264,0.15,-0.15,0.0,4.9,1.62,-1.96,0.0,1.04528,0.06202,-0.27675,0.0,,,,,,,,,,,,,19h20m57.03s,290.2376224,+41d19m52.91s,41.3313637,768.86,,,13.677,0.149,-0.149,12.144,0.022,-0.022,13.5839,0.000837,-0.000837,0
